id,tema,escopo,pergunta,indicador,ano,universo,folga_10_11,top10
c0112,paises,mundo,Quais os países que mais investem em pesquisa e desenvolvimento?,GB.XPD.RSDV.GD.ZS,2023,77,0.0147,"1. Israel (6,3%) | 2. Coreia do Sul (4,9%) | 3. Suécia (3,6%) | 4. Estados Unidos (3,4%) | 5. Japão (3,4%) | 6. Bélgica (3,3%) | 7. Áustria (3,3%) | 8. Suíça (3,2%) | 9. Alemanha (3,2%) | 10. Finlândia (3,1%)"
c0113,paises,mundo,Quais os países com mais pesquisadores por habitante?,SP.POP.SCIE.RD.P6,2023,69,0.0096,1. Coreia do Sul (9.472) | 2. Suécia (8.911) | 3. Dinamarca (8.838) | 4. Finlândia (8.315) | 5. Noruega (7.451) | 6. Áustria (6.634) | 7. Países Baixos (6.563) | 8. Suíça (6.108) | 9. Bélgica (5.990) | 10. Portugal (5.983)
c0114,paises,Europa,Quais os países que mais registram patentes na Europa?,IP.PAT.RESD,2021,43,0.1208,1. Alemanha (39.822) | 2. Rússia (19.569) | 3. França (13.386) | 4. Reino Unido (11.592) | 5. Itália (10.281) | 6. Turquia (8.234) | 7. Polônia (3.377) | 8. Países Baixos (2.080) | 9. Áustria (1.872) | 10. Suécia (1.771)
c0115,paises,mundo,Quais os países menos conectados à internet?,IT.NET.USER.ZS,2024,147,0.0362,"1. Burundi (8,6%) | 2. Uganda (8,9%) | 3. Chade (12,6%) | 4. República Centro-Africana (13,8%) | 5. Níger (15,6%) | 6. Afeganistão (16,1%) | 7. Zâmbia (17,1%) | 8. Madagascar (18,7%) | 9. Papua-Nova Guiné (18,8%) | 10. Malawi (19,0%)"
c0116,paises,Ásia,Quais os países mais conectados à internet na Ásia?,IT.NET.USER.ZS,2024,36,0.0104,"1. Bahrein (100,0%) | 2. Arábia Saudita (100,0%) | 3. Emirados Árabes Unidos (100,0%) | 4. Kuwait (99,7%) | 5. Catar (98,1%) | 6. Malásia (98,0%) | 7. Coreia do Sul (97,9%) | 8. Jordânia (95,6%) | 9. Omã (95,3%) | 10. Singapura (94,4%)"
c0117,paises,Europa,Quais os países com mais linhas de celular por habitante na Europa?,IT.CEL.SETS.P2,2023,37,0.0052,"1. Rússia (180,8) | 2. Estônia (150,2) | 3. Chipre (148,3) | 4. Suécia (140,3) | 5. Eslováquia (138,2) | 6. Lituânia (137,2) | 7. Polônia (135,1) | 8. Ucrânia (133,4) | 9. Itália (131,9) | 10. Suíça (130,2)"
c0118,paises,África,Quais os países com mais linhas de celular por habitante na África?,IT.CEL.SETS.P2,2023,42,0.0163,"1. Botsuana (179,0) | 2. Costa do Marfim (172,0) | 3. África do Sul (171,5) | 4. Maurício (165,3) | 5. Marrocos (148,2) | 6. Tunísia (132,7) | 7. Essuatíni (128,4) | 8. Guiné-Bissau (128,1) | 9. Senegal (123,9) | 10. Gabão (122,6)"
c0119,paises,Ásia,Quais os países com mais linhas de celular por habitante na Ásia?,IT.CEL.SETS.P2,2023,40,0.0087,"1. Emirados Árabes Unidos (199,4) | 2. Japão (178,4) | 3. Singapura (173,2) | 4. Tailândia (168,6) | 5. Kuwait (167,7) | 6. Irã (166,3) | 7. Coreia do Sul (162,1) | 8. Catar (157,8) | 9. Arábia Saudita (157,8) | 10. Geórgia (155,2)"
c0120,paises,Américas,Quais os países com mais linhas de celular por habitante nas Américas?,IT.CEL.SETS.P2,2023,22,0.0564,"1. El Salvador (179,7) | 2. Colômbia (167,0) | 3. Panamá (156,6) | 4. Uruguai (141,7) | 5. Argentina (137,7) | 6. Chile (135,9) | 7. Trindade e Tobago (134,2) | 8. Costa Rica (133,5) | 9. Paraguai (126,6) | 10. Peru (122,0)"
c0121,paises,União Europeia,Quais os países com mais linhas de celular por habitante na União Europeia?,IT.CEL.SETS.P2,2023,25,0.0059,"1. Estônia (150,2) | 2. Chipre (148,3) | 3. Suécia (140,3) | 4. Eslováquia (138,2) | 5. Lituânia (137,2) | 6. Polônia (135,1) | 7. Itália (131,9) | 8. Eslovênia (129,2) | 9. Espanha (127,7) | 10. Finlândia (127,5)"
c0122,paises,mundo,Quais os países onde menos gente tem energia elétrica em casa?,EG.ELC.ACCS.ZS,2024,157,0.0587,"1. Sudão do Sul (5,4%) | 2. Chade (13,4%) | 3. Malawi (15,6%) | 4. República Centro-Africana (18,2%) | 5. Burundi (20,1%) | 6. Níger (21,3%) | 7. República Democrática do Congo (22,5%) | 8. Burkina Faso (34,0%) | 9. Libéria (34,9%) | 10. Moçambique (36,9%)"
c0123,paises,mundo,Quais os países com a matriz elétrica menos renovável?,EG.ELC.RNEW.ZS,2021,155,0.0963,"1. Turquemenistão (0,0%) | 2. Líbia (0,0%) | 3. Bahrein (0,0%) | 4. Arábia Saudita (0,1%) | 5. Trindade e Tobago (0,1%) | 6. Botsuana (0,2%) | 7. Benin (0,3%) | 8. Kuwait (0,3%) | 9. Catar (0,3%) | 10. Sudão do Sul (0,3%)"
c0124,paises,Europa,Quais os países com a matriz elétrica mais renovável na Europa?,EG.ELC.RNEW.ZS,2021,37,0.1118,"1. Noruega (99,1%) | 2. Áustria (79,9%) | 3. Dinamarca (79,0%) | 4. Croácia (69,9%) | 5. Suíça (67,9%) | 6. Suécia (67,4%) | 7. Lituânia (65,6%) | 8. Portugal (64,9%) | 9. Letônia (63,6%) | 10. Finlândia (52,9%)"
c0125,paises,Ásia,Quais os países com a matriz elétrica mais renovável na Ásia?,EG.ELC.RNEW.ZS,2021,43,0.1639,"1. Tajiquistão (93,4%) | 2. Quirguistão (85,6%) | 3. Nepal (84,0%) | 4. Geórgia (81,4%) | 5. Afeganistão (78,2%) | 6. Laos (63,3%) | 7. Coreia do Norte (63,1%) | 8. Camboja (56,4%) | 9. Mianmar (50,8%) | 10. Sri Lanka (49,2%)"
c0126,paises,Américas,Quais os países com a matriz elétrica mais renovável nas Américas?,EG.ELC.RNEW.ZS,2021,23,0.0357,"1. Costa Rica (99,4%) | 2. El Salvador (95,6%) | 3. Uruguai (84,4%) | 4. Venezuela (81,7%) | 5. Equador (80,9%) | 6. Panamá (79,3%) | 7. Brasil (77,4%) | 8. Colômbia (75,1%) | 9. Nicarágua (69,5%) | 10. Canadá (67,0%)"
c0127,paises,União Europeia,Quais os países com a matriz elétrica mais renovável na União Europeia?,EG.ELC.RNEW.ZS,2021,25,0.0866,"1. Áustria (79,9%) | 2. Dinamarca (79,0%) | 3. Croácia (69,9%) | 4. Suécia (67,4%) | 5. Lituânia (65,6%) | 6. Portugal (64,9%) | 7. Letônia (63,6%) | 8. Finlândia (52,9%) | 9. Espanha (47,0%) | 10. Romênia (44,9%)"
c0128,paises,mundo,Quais os países que mais consomem energia por habitante?,EG.USE.PCAP.KG.OE,2023,140,0.0628,1. Catar (16.343) | 2. Trindade e Tobago (10.590) | 3. Bahrein (10.512) | 4. Emirados Árabes Unidos (9.140) | 5. Kuwait (8.952) | 6. Canadá (7.342) | 7. Arábia Saudita (7.149) | 8. Estados Unidos (6.364) | 9. Omã (5.908) | 10. Finlândia (5.867)
